iteration          time             xO2              xO              xN             xCO             xCN             xC3          xE(s1)          xC(b1)
     2150    1.0750E-01    4.067483E-12    1.000000E-20    1.171960E-10    2.525705E-02    4.750731E-02    1.135976E+00    7.500000E-06    1.000000E+00
     2175    1.0875E-01    3.154477E-12    1.000000E-20    9.306751E-11    2.525705E-02    4.750731E-02    1.136854E+00    7.500000E-06    1.000000E+00
     2200    1.1000E-01    2.446408E-12    1.000000E-20    7.390661E-11    2.525705E-02    4.750731E-02    1.137692E+00    7.500000E-06    1.000000E+00
     2225    1.1125E-01    1.897276E-12    1.000000E-20    5.869059E-11    2.525705E-02    4.750731E-02    1.138490E+00    7.500000E-06    1.000000E+00
     2250    1.1250E-01    1.471405E-12    1.000000E-20    4.660727E-11    2.525705E-02    4.750731E-02    1.139250E+00    7.500000E-06    1.000000E+00
     2275    1.1375E-01    1.141126E-12    1.000000E-20    3.701169E-11    2.525705E-02    4.750731E-02    1.139975E+00    7.500000E-06    1.000000E+00
     2300    1.1500E-01    8.849838E-13    1.000000E-20    2.939166E-11    2.525705E-02    4.750731E-02    1.140666E+00    7.500000E-06    1.000000E+00
     2325    1.1625E-01    6.863362E-13    1.000000E-20    2.334045E-11    2.525705E-02    4.750731E-02    1.141325E+00    7.500000E-06    1.000000E+00
     2350    1.1750E-01    5.322780E-13    1.000000E-20    1.853508E-11    2.525705E-02    4.750731E-02    1.141953E+00    7.500000E-06    1.000000E+00
     2375    1.1875E-01    4.128004E-13    1.000000E-20    1.471905E-11    2.525705E-02    4.750731E-02    1.142552E+00    7.500000E-06    1.000000E+00
     2400    1.2000E-01    3.201413E-13    1.000000E-20    1.168866E-11    2.525705E-02    4.750731E-02    1.143122E+00    7.500000E-06    1.000000E+00
     2425    1.2125E-01    2.482809E-13    1.000000E-20    9.282182E-12    2.525705E-02    4.750731E-02    1.143666E+00    7.500000E-06    1.000000E+00
     2450    1.2250E-01    1.925506E-13    1.000000E-20    7.371150E-12    2.525705E-02    4.750731E-02    1.144185E+00    7.500000E-06    1.000000E+00
     2475    1.2375E-01    1.493298E-13    1.000000E-20    5.853565E-12    2.525705E-02    4.750731E-02    1.144679E+00    7.500000E-06    1.000000E+00
     2500    1.2500E-01    1.158105E-13    1.000000E-20    4.648423E-12    2.525705E-02    4.750731E-02    1.145150E+00    7.500000E-06    1.000000E+00
     2525    1.2625E-01    8.981516E-14    1.000000E-20    3.691398E-12    2.525705E-02    4.750731E-02    1.145599E+00    7.500000E-06    1.000000E+00
     2550    1.2750E-01    6.965483E-14    1.000000E-20    2.931407E-12    2.525705E-02    4.750731E-02    1.146027E+00    7.500000E-06    1.000000E+00
     2575    1.2875E-01    5.401978E-14    1.000000E-20    2.327884E-12    2.525705E-02    4.750731E-02    1.146435E+00    7.500000E-06    1.000000E+00
     2600    1.3000E-01    4.189425E-14    1.000000E-20    1.848615E-12    2.525705E-02    4.750731E-02    1.146824E+00    7.500000E-06    1.000000E+00
     2625    1.3125E-01    3.249047E-14    1.000000E-20    1.468019E-12    2.525705E-02    4.750731E-02    1.147195E+00    7.500000E-06    1.000000E+00
     2650    1.3250E-01    2.519751E-14    1.000000E-20    1.165781E-12    2.525705E-02    4.750731E-02    1.147548E+00    7.500000E-06    1.000000E+00
     2675    1.3375E-01    1.954156E-14    1.000000E-20    9.257677E-13    2.525705E-02    4.750731E-02    1.147885E+00    7.500000E-06    1.000000E+00
     2700    1.3500E-01    1.515517E-14    1.000000E-20    7.351691E-13    2.525705E-02    4.750731E-02    1.148206E+00    7.500000E-06    1.000000E+00
     2725    1.3625E-01    1.175337E-14    1.000000E-20    5.838112E-13    2.525705E-02    4.750731E-02    1.148512E+00    7.500000E-06    1.000000E+00
     2750    1.3750E-01    9.115153E-15    1.000000E-20    4.636151E-13    2.525705E-02    4.750731E-02    1.148804E+00    7.500000E-06    1.000000E+00
     2775    1.3875E-01    7.069123E-15    1.000000E-20    3.681653E-13    2.525705E-02    4.750731E-02    1.149082E+00    7.500000E-06    1.000000E+00
     2800    1.4000E-01    5.482355E-15    1.000000E-20    2.923668E-13    2.525705E-02    4.750731E-02    1.149347E+00    7.500000E-06    1.000000E+00
     2825    1.4125E-01    4.251760E-15    1.000000E-20    2.321738E-13    2.525705E-02    4.750731E-02    1.149600E+00    7.500000E-06    1.000000E+00
     2850    1.4250E-01    3.297390E-15    1.000000E-20    1.843735E-13    2.525705E-02    4.750731E-02    1.149841E+00    7.500000E-06    1.000000E+00
     2875    1.4375E-01    2.557243E-15    1.000000E-20    1.464143E-13    2.525705E-02    4.750731E-02    1.150070E+00    7.500000E-06    1.000000E+00
     2900    1.4500E-01    1.983232E-15    1.000000E-20    1.162703E-13    2.525705E-02    4.750731E-02    1.150289E+00    7.500000E-06    1.000000E+00
     2925    1.4625E-01    1.538066E-15    1.000000E-20    9.233237E-14    2.525705E-02    4.750731E-02    1.150498E+00    7.500000E-06    1.000000E+00
     2950    1.4750E-01    1.192825E-15    1.000000E-20    7.332282E-14    2.525705E-02    4.750731E-02    1.150697E+00    7.500000E-06    1.000000E+00
     2975    1.4875E-01    9.250779E-16    1.000000E-20    5.822700E-14    2.525705E-02    4.750731E-02    1.150886E+00    7.500000E-06    1.000000E+00
     3000    1.5000E-01    7.174306E-16    1.000000E-20    4.623912E-14    2.525705E-02    4.750731E-02    1.151067E+00    7.500000E-06    1.000000E+00
     3025    1.5125E-01    5.563928E-16    1.000000E-20    3.671933E-14    2.525705E-02    4.750731E-02    1.151239E+00    7.500000E-06    1.000000E+00
