iteration          time            xCO2             xCO             xO2              xO          xE(s1)         xCO(s1)          xO(s1)
    35000    7.0000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    35500    7.1000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    36000    7.2000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    36500    7.3000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    37000    7.4000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    37500    7.5000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    38000    7.6000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    38500    7.7000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    39000    7.8000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    39500    7.9000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
    40000    8.0000E-01    9.235417E-01    2.660441E-02    1.260741E-02    1.841345E-04    1.576540E-05    1.650786E-10    2.734434E-06
