iteration          time             xO2              xO          xE(s1)          xO(s1)         xO2(s1)
      104    1.0400E-07    1.082445E+00    1.202717E-01    1.340134E-07    6.279013E-07    3.466685E-06
      105    1.0500E-07    1.082445E+00    1.202717E-01    1.339562E-07    6.284614E-07    3.466182E-06
      106    1.0600E-07    1.082445E+00    1.202717E-01    1.339021E-07    6.290181E-07    3.465680E-06
      107    1.0700E-07    1.082445E+00    1.202717E-01    1.338511E-07    6.295716E-07    3.465177E-06
      108    1.0800E-07    1.082445E+00    1.202717E-01    1.338028E-07    6.301218E-07    3.464675E-06
      109    1.0900E-07    1.082445E+00    1.202717E-01    1.337569E-07    6.306688E-07    3.464174E-06
      110    1.1000E-07    1.082445E+00    1.202717E-01    1.337134E-07    6.312127E-07    3.463674E-06
      111    1.1100E-07    1.082445E+00    1.202717E-01    1.336720E-07    6.317535E-07    3.463174E-06
      112    1.1200E-07    1.082445E+00    1.202717E-01    1.336325E-07    6.322913E-07    3.462676E-06
      113    1.1300E-07    1.082445E+00    1.202717E-01    1.335948E-07    6.328260E-07    3.462179E-06
      114    1.1400E-07    1.082445E+00    1.202717E-01    1.335588E-07    6.333577E-07    3.461684E-06
      115    1.1500E-07    1.082445E+00    1.202717E-01    1.335242E-07    6.338865E-07    3.461189E-06
      116    1.1600E-07    1.082445E+00    1.202717E-01    1.334911E-07    6.344123E-07    3.460697E-06
      117    1.1700E-07    1.082445E+00    1.202717E-01    1.334592E-07    6.349352E-07    3.460206E-06
      118    1.1800E-07    1.082445E+00    1.202717E-01    1.334285E-07    6.354553E-07    3.459716E-06
      119    1.1900E-07    1.082445E+00    1.202717E-01    1.333989E-07    6.359725E-07    3.459229E-06
      120    1.2000E-07    1.082445E+00    1.202717E-01    1.333703E-07    6.364869E-07    3.458743E-06
      121    1.2100E-07    1.082445E+00    1.202717E-01    1.333427E-07    6.369984E-07    3.458259E-06
      122    1.2200E-07    1.082445E+00    1.202717E-01    1.333158E-07    6.375073E-07    3.457777E-06
      123    1.2300E-07    1.082445E+00    1.202717E-01    1.332898E-07    6.380133E-07    3.457297E-06
      124    1.2400E-07    1.082445E+00    1.202717E-01    1.332645E-07    6.385167E-07    3.456819E-06
      125    1.2500E-07    1.082445E+00    1.202717E-01    1.332399E-07    6.390173E-07    3.456343E-06
      126    1.2600E-07    1.082445E+00    1.202717E-01    1.332160E-07    6.395152E-07    3.455869E-06
      127    1.2700E-07    1.082445E+00    1.202717E-01    1.331926E-07    6.400105E-07    3.455397E-06
      128    1.2800E-07    1.082445E+00    1.202717E-01    1.331697E-07    6.405031E-07    3.454927E-06
      129    1.2900E-07    1.082445E+00    1.202717E-01    1.331474E-07    6.409931E-07    3.454460E-06
      130    1.3000E-07    1.082445E+00    1.202717E-01    1.331255E-07    6.414805E-07    3.453994E-06
      131    1.3100E-07    1.082445E+00    1.202717E-01    1.331040E-07    6.419653E-07    3.453531E-06
      132    1.3200E-07    1.082445E+00    1.202717E-01    1.330830E-07    6.424475E-07    3.453069E-06
      133    1.3300E-07    1.082445E+00    1.202717E-01    1.330623E-07    6.429272E-07    3.452610E-06
      134    1.3400E-07    1.082445E+00    1.202717E-01    1.330420E-07    6.434043E-07    3.452154E-06
      135    1.3500E-07    1.082445E+00    1.202717E-01    1.330221E-07    6.438789E-07    3.451699E-06
      136    1.3600E-07    1.082445E+00    1.202717E-01    1.330024E-07    6.443509E-07    3.451247E-06
      137    1.3700E-07    1.082445E+00    1.202717E-01    1.329830E-07    6.448205E-07    3.450796E-06
      138    1.3800E-07    1.082445E+00    1.202717E-01    1.329639E-07    6.452876E-07    3.450348E-06
      139    1.3900E-07    1.082445E+00    1.202717E-01    1.329451E-07    6.457522E-07    3.449903E-06
      140    1.4000E-07    1.082445E+00    1.202717E-01    1.329265E-07    6.462144E-07    3.449459E-06
      141    1.4100E-07    1.082445E+00    1.202717E-01    1.329081E-07    6.466742E-07    3.449018E-06
      142    1.4200E-07    1.082445E+00    1.202717E-01    1.328900E-07    6.471315E-07    3.448579E-06
      143    1.4300E-07    1.082445E+00    1.202717E-01    1.328721E-07    6.475864E-07    3.448142E-06
      144    1.4400E-07    1.082445E+00    1.202717E-01    1.328543E-07    6.480389E-07    3.447707E-06
      145    1.4500E-07    1.082445E+00    1.202717E-01    1.328367E-07    6.484890E-07    3.447274E-06
      146    1.4600E-07    1.082445E+00    1.202717E-01    1.328194E-07    6.489368E-07    3.446844E-06
      147    1.4700E-07    1.082445E+00    1.202717E-01    1.328022E-07    6.493822E-07    3.446416E-06
      148    1.4800E-07    1.082445E+00    1.202717E-01    1.327851E-07    6.498253E-07    3.445990E-06
      149    1.4900E-07    1.082445E+00    1.202717E-01    1.327682E-07    6.502660E-07    3.445566E-06
      150    1.5000E-07    1.082445E+00    1.202717E-01    1.327515E-07    6.507045E-07    3.445144E-06
      151    1.5100E-07    1.082445E+00    1.202717E-01    1.327349E-07    6.511406E-07    3.444725E-06
      152    1.5200E-07    1.082445E+00    1.202717E-01    1.327184E-07    6.515744E-07    3.444307E-06
      153    1.5300E-07    1.082445E+00    1.202717E-01    1.327020E-07    6.520060E-07    3.443892E-06
      154    1.5400E-07    1.082445E+00    1.202717E-01    1.326858E-07    6.524353E-07    3.443479E-06
      155    1.5500E-07    1.082445E+00    1.202717E-01    1.326698E-07    6.528624E-07    3.443068E-06
      156    1.5600E-07    1.082445E+00    1.202717E-01    1.326538E-07    6.532872E-07    3.442659E-06
