iteration          time             xO2              xO          xE(s1)          xO(s1)
     1000    1.0000E-05    1.082445E+00    1.202717E-01    3.613035E-07    7.138697E-06
     1010    1.0100E-05    1.082445E+00    1.202717E-01    3.576344E-07    7.142366E-06
     1020    1.0200E-05    1.082445E+00    1.202717E-01    3.541012E-07    7.145899E-06
     1030    1.0300E-05    1.082445E+00    1.202717E-01    3.506985E-07    7.149301E-06
     1040    1.0400E-05    1.082445E+00    1.202717E-01    3.474216E-07    7.152578E-06
     1050    1.0500E-05    1.082445E+00    1.202717E-01    3.442657E-07    7.155734E-06
     1060    1.0600E-05    1.082445E+00    1.202717E-01    3.412263E-07    7.158774E-06
     1070    1.0700E-05    1.082445E+00    1.202717E-01    3.382989E-07    7.161701E-06
     1080    1.0800E-05    1.082445E+00    1.202717E-01    3.354794E-07    7.164521E-06
     1090    1.0900E-05    1.082445E+00    1.202717E-01    3.327638E-07    7.167236E-06
     1100    1.1000E-05    1.082445E+00    1.202717E-01    3.301481E-07    7.169852E-06
     1110    1.1100E-05    1.082445E+00    1.202717E-01    3.276286E-07    7.172371E-06
     1120    1.1200E-05    1.082445E+00    1.202717E-01    3.252017E-07    7.174798E-06
     1130    1.1300E-05    1.082445E+00    1.202717E-01    3.228640E-07    7.177136E-06
     1140    1.1400E-05    1.082445E+00    1.202717E-01    3.206121E-07    7.179388E-06
     1150    1.1500E-05    1.082445E+00    1.202717E-01    3.184429E-07    7.181557E-06
     1160    1.1600E-05    1.082445E+00    1.202717E-01    3.163533E-07    7.183647E-06
     1170    1.1700E-05    1.082445E+00    1.202717E-01    3.143403E-07    7.185660E-06
     1180    1.1800E-05    1.082445E+00    1.202717E-01    3.124011E-07    7.187599E-06
     1190    1.1900E-05    1.082445E+00    1.202717E-01    3.105330E-07    7.189467E-06
     1200    1.2000E-05    1.082445E+00    1.202717E-01    3.087333E-07    7.191267E-06
     1210    1.2100E-05    1.082445E+00    1.202717E-01    3.069994E-07    7.193001E-06
     1220    1.2200E-05    1.082445E+00    1.202717E-01    3.053290E-07    7.194671E-06
     1230    1.2300E-05    1.082445E+00    1.202717E-01    3.037197E-07    7.196280E-06
     1240    1.2400E-05    1.082445E+00    1.202717E-01    3.021693E-07    7.197831E-06
     1250    1.2500E-05    1.082445E+00    1.202717E-01    3.006755E-07    7.199324E-06
     1260    1.2600E-05    1.082445E+00    1.202717E-01    2.992364E-07    7.200764E-06
     1270    1.2700E-05    1.082445E+00    1.202717E-01    2.978498E-07    7.202150E-06
     1280    1.2800E-05    1.082445E+00    1.202717E-01    2.965138E-07    7.203486E-06
     1290    1.2900E-05    1.082445E+00    1.202717E-01    2.952266E-07    7.204773E-06
     1300    1.3000E-05    1.082445E+00    1.202717E-01    2.939864E-07    7.206014E-06
     1310    1.3100E-05    1.082445E+00    1.202717E-01    2.927915E-07    7.207209E-06
     1320    1.3200E-05    1.082445E+00    1.202717E-01    2.916401E-07    7.208360E-06
     1330    1.3300E-05    1.082445E+00    1.202717E-01    2.905307E-07    7.209469E-06
     1340    1.3400E-05    1.082445E+00    1.202717E-01    2.894618E-07    7.210538E-06
     1350    1.3500E-05    1.082445E+00    1.202717E-01    2.884318E-07    7.211568E-06
     1360    1.3600E-05    1.082445E+00    1.202717E-01    2.874394E-07    7.212561E-06
     1370    1.3700E-05    1.082445E+00    1.202717E-01    2.864832E-07    7.213517E-06
     1380    1.3800E-05    1.082445E+00    1.202717E-01    2.855617E-07    7.214438E-06
     1390    1.3900E-05    1.082445E+00    1.202717E-01    2.846739E-07    7.215326E-06
     1400    1.4000E-05    1.082445E+00    1.202717E-01    2.838183E-07    7.216182E-06
     1410    1.4100E-05    1.082445E+00    1.202717E-01    2.829939E-07    7.217006E-06
     1420    1.4200E-05    1.082445E+00    1.202717E-01    2.821996E-07    7.217800E-06
     1430    1.4300E-05    1.082445E+00    1.202717E-01    2.814341E-07    7.218566E-06
     1440    1.4400E-05    1.082445E+00    1.202717E-01    2.806965E-07    7.219304E-06
     1450    1.4500E-05    1.082445E+00    1.202717E-01    2.799857E-07    7.220014E-06
     1460    1.4600E-05    1.082445E+00    1.202717E-01    2.793007E-07    7.220699E-06
     1470    1.4700E-05    1.082445E+00    1.202717E-01    2.786407E-07    7.221359E-06
     1480    1.4800E-05    1.082445E+00    1.202717E-01    2.780047E-07    7.221995E-06
     1490    1.4900E-05    1.082445E+00    1.202717E-01    2.773918E-07    7.222608E-06
     1500    1.5000E-05    1.082445E+00    1.202717E-01    2.768012E-07    7.223199E-06
     1510    1.5100E-05    1.082445E+00    1.202717E-01    2.762320E-07    7.223768E-06
     1520    1.5200E-05    1.082445E+00    1.202717E-01    2.756836E-07    7.224316E-06
     1530    1.5300E-05    1.082445E+00    1.202717E-01    2.751550E-07    7.224845E-06
     1540    1.5400E-05    1.082445E+00    1.202717E-01    2.746457E-07    7.225354E-06
     1550    1.5500E-05    1.082445E+00    1.202717E-01    2.741549E-07    7.225845E-06
     1560    1.5600E-05    1.082445E+00    1.202717E-01    2.736819E-07    7.226318E-06
     1570    1.5700E-05    1.082445E+00    1.202717E-01    2.732261E-07    7.226774E-06
     1580    1.5800E-05    1.082445E+00    1.202717E-01    2.727868E-07    7.227213E-06
     1590    1.5900E-05    1.082445E+00    1.202717E-01    2.723635E-07    7.227636E-06
     1600    1.6000E-05    1.082445E+00    1.202717E-01    2.719556E-07    7.228044E-06
     1610    1.6100E-05    1.082445E+00    1.202717E-01    2.715625E-07    7.228438E-06
     1620    1.6200E-05    1.082445E+00    1.202717E-01    2.711836E-07    7.228816E-06
     1630    1.6300E-05    1.082445E+00    1.202717E-01    2.708185E-07    7.229181E-06
     1640    1.6400E-05    1.082445E+00    1.202717E-01    2.704667E-07    7.229533E-06
     1650    1.6500E-05    1.082445E+00    1.202717E-01    2.701276E-07    7.229872E-06
     1660    1.6600E-05    1.082445E+00    1.202717E-01    2.698009E-07    7.230199E-06
     1670    1.6700E-05    1.082445E+00    1.202717E-01    2.694859E-07    7.230514E-06
     1680    1.6800E-05    1.082445E+00    1.202717E-01    2.691825E-07    7.230818E-06
     1690    1.6900E-05    1.082445E+00    1.202717E-01    2.688900E-07    7.231110E-06
     1700    1.7000E-05    1.082445E+00    1.202717E-01    2.686081E-07    7.231392E-06
     1710    1.7100E-05    1.082445E+00    1.202717E-01    2.683365E-07    7.231663E-06
     1720    1.7200E-05    1.082445E+00    1.202717E-01    2.680747E-07    7.231925E-06
     1730    1.7300E-05    1.082445E+00    1.202717E-01    2.678225E-07    7.232178E-06
     1740    1.7400E-05    1.082445E+00    1.202717E-01    2.675793E-07    7.232421E-06
     1750    1.7500E-05    1.082445E+00    1.202717E-01    2.673450E-07    7.232655E-06
     1760    1.7600E-05    1.082445E+00    1.202717E-01    2.671192E-07    7.232881E-06
     1770    1.7700E-05    1.082445E+00    1.202717E-01    2.669016E-07    7.233098E-06
     1780    1.7800E-05    1.082445E+00    1.202717E-01    2.666919E-07    7.233308E-06
     1790    1.7900E-05    1.082445E+00    1.202717E-01    2.664898E-07    7.233510E-06
     1800    1.8000E-05    1.082445E+00    1.202717E-01    2.662950E-07    7.233705E-06
     1810    1.8100E-05    1.082445E+00    1.202717E-01    2.661073E-07    7.233893E-06
     1820    1.8200E-05    1.082445E+00    1.202717E-01    2.659263E-07    7.234074E-06
     1830    1.8300E-05    1.082445E+00    1.202717E-01    2.657520E-07    7.234248E-06
     1840    1.8400E-05    1.082445E+00    1.202717E-01    2.655839E-07    7.234416E-06
     1850    1.8500E-05    1.082445E+00    1.202717E-01    2.654220E-07    7.234578E-06
     1860    1.8600E-05    1.082445E+00    1.202717E-01    2.652659E-07    7.234734E-06
     1870    1.8700E-05    1.082445E+00    1.202717E-01    2.651155E-07    7.234884E-06
     1880    1.8800E-05    1.082445E+00    1.202717E-01    2.649706E-07    7.235029E-06
     1890    1.8900E-05    1.082445E+00    1.202717E-01    2.648308E-07    7.235169E-06
     1900    1.9000E-05    1.082445E+00    1.202717E-01    2.646962E-07    7.235304E-06
     1910    1.9100E-05    1.082445E+00    1.202717E-01    2.645664E-07    7.235434E-06
     1920    1.9200E-05    1.082445E+00    1.202717E-01    2.644414E-07    7.235559E-06
     1930    1.9300E-05    1.082445E+00    1.202717E-01    2.643209E-07    7.235679E-06
     1940    1.9400E-05    1.082445E+00    1.202717E-01    2.642047E-07    7.235795E-06
     1950    1.9500E-05    1.082445E+00    1.202717E-01    2.640928E-07    7.235907E-06
     1960    1.9600E-05    1.082445E+00    1.202717E-01    2.639849E-07    7.236015E-06
     1970    1.9700E-05    1.082445E+00    1.202717E-01    2.638809E-07    7.236119E-06
     1980    1.9800E-05    1.082445E+00    1.202717E-01    2.637807E-07    7.236219E-06
     1990    1.9900E-05    1.082445E+00    1.202717E-01    2.636841E-07    7.236316E-06
     2000    2.0000E-05    1.082445E+00    1.202717E-01    2.635910E-07    7.236409E-06
     2010    2.0100E-05    1.082445E+00    1.202717E-01    2.635013E-07    7.236499E-06
     2020    2.0200E-05    1.082445E+00    1.202717E-01    2.634149E-07    7.236585E-06
     2030    2.0300E-05    1.082445E+00    1.202717E-01    2.633316E-07    7.236668E-06
     2040    2.0400E-05    1.082445E+00    1.202717E-01    2.632513E-07    7.236749E-06
     2050    2.0500E-05    1.082445E+00    1.202717E-01    2.631739E-07    7.236826E-06
     2060    2.0600E-05    1.082445E+00    1.202717E-01    2.630993E-07    7.236901E-06
     2070    2.0700E-05    1.082445E+00    1.202717E-01    2.630274E-07    7.236973E-06
     2080    2.0800E-05    1.082445E+00    1.202717E-01    2.629581E-07    7.237042E-06
     2090    2.0900E-05    1.082445E+00    1.202717E-01    2.628914E-07    7.237109E-06
     2100    2.1000E-05    1.082445E+00    1.202717E-01    2.628270E-07    7.237173E-06
     2110    2.1100E-05    1.082445E+00    1.202717E-01    2.627650E-07    7.237235E-06
     2120    2.1200E-05    1.082445E+00    1.202717E-01    2.627052E-07    7.237295E-06
     2130    2.1300E-05    1.082445E+00    1.202717E-01    2.626476E-07    7.237352E-06
     2140    2.1400E-05    1.082445E+00    1.202717E-01    2.625921E-07    7.237408E-06
     2150    2.1500E-05    1.082445E+00    1.202717E-01    2.625386E-07    7.237461E-06
     2160    2.1600E-05    1.082445E+00    1.202717E-01    2.624870E-07    7.237513E-06
     2170    2.1700E-05    1.082445E+00    1.202717E-01    2.624373E-07    7.237563E-06
     2180    2.1800E-05    1.082445E+00    1.202717E-01    2.623894E-07    7.237611E-06
     2190    2.1900E-05    1.082445E+00    1.202717E-01    2.623433E-07    7.237657E-06
     2200    2.2000E-05    1.082445E+00    1.202717E-01    2.622988E-07    7.237701E-06
     2210    2.2100E-05    1.082445E+00    1.202717E-01    2.622559E-07    7.237744E-06
     2220    2.2200E-05    1.082445E+00    1.202717E-01    2.622146E-07    7.237785E-06
     2230    2.2300E-05    1.082445E+00    1.202717E-01    2.621748E-07    7.237825E-06
     2240    2.2400E-05    1.082445E+00    1.202717E-01    2.621364E-07    7.237864E-06
     2250    2.2500E-05    1.082445E+00    1.202717E-01    2.620994E-07    7.237901E-06
     2260    2.2600E-05    1.082445E+00    1.202717E-01    2.620637E-07    7.237936E-06
     2270    2.2700E-05    1.082445E+00    1.202717E-01    2.620294E-07    7.237971E-06
     2280    2.2800E-05    1.082445E+00    1.202717E-01    2.619962E-07    7.238004E-06
     2290    2.2900E-05    1.082445E+00    1.202717E-01    2.619643E-07    7.238036E-06
     2300    2.3000E-05    1.082445E+00    1.202717E-01    2.619336E-07    7.238066E-06
