iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
       59    1.1800E-06    9.501462E-01    2.525702E-01    1.203121E-15    1.203540E-15    9.420042E-10    6.888485E-06    1.003883E-15    6.115152E-07
       60    1.2000E-06    9.501462E-01    2.525702E-01    1.203134E-15    1.203554E-15    9.619842E-10    6.878906E-06    1.003936E-15    6.210936E-07
       61    1.2200E-06    9.501462E-01    2.525702E-01    1.203148E-15    1.203569E-15    9.820872E-10    6.869355E-06    1.003988E-15    6.306449E-07
       62    1.2400E-06    9.501462E-01    2.525702E-01    1.203162E-15    1.203583E-15    1.002313E-09    6.859831E-06    1.004039E-15    6.401693E-07
       63    1.2600E-06    9.501462E-01    2.525702E-01    1.203176E-15    1.203597E-15    1.022661E-09    6.850333E-06    1.004091E-15    6.496669E-07
       64    1.2800E-06    9.501462E-01    2.525702E-01    1.203191E-15    1.203611E-15    1.043130E-09    6.840862E-06    1.004141E-15    6.591378E-07
       65    1.3000E-06    9.501462E-01    2.525702E-01    1.203205E-15    1.203625E-15    1.063722E-09    6.831418E-06    1.004192E-15    6.685821E-07
       66    1.3200E-06    9.501462E-01    2.525702E-01    1.203220E-15    1.203639E-15    1.084434E-09    6.822000E-06    1.004242E-15    6.779999E-07
       67    1.3400E-06    9.501462E-01    2.525702E-01    1.203235E-15    1.203653E-15    1.105267E-09    6.812609E-06    1.004291E-15    6.873914E-07
       68    1.3600E-06    9.501462E-01    2.525701E-01    1.203250E-15    1.203667E-15    1.126221E-09    6.803243E-06    1.004340E-15    6.967566E-07
       69    1.3800E-06    9.501462E-01    2.525701E-01    1.203266E-15    1.203682E-15    1.147295E-09    6.793904E-06    1.004389E-15    7.060956E-07
       70    1.4000E-06    9.501462E-01    2.525701E-01    1.203281E-15    1.203696E-15    1.168489E-09    6.784591E-06    1.004437E-15    7.154085E-07
       71    1.4200E-06    9.501462E-01    2.525701E-01    1.203297E-15    1.203710E-15    1.189803E-09    6.775304E-06    1.004485E-15    7.246956E-07
       72    1.4400E-06    9.501462E-01    2.525701E-01    1.203313E-15    1.203724E-15    1.211235E-09    6.766043E-06    1.004532E-15    7.339567E-07
       73    1.4600E-06    9.501462E-01    2.525701E-01    1.203330E-15    1.203738E-15    1.232787E-09    6.756808E-06    1.004579E-15    7.431921E-07
       74    1.4800E-06    9.501462E-01    2.525701E-01    1.203346E-15    1.203752E-15    1.254457E-09    6.747598E-06    1.004625E-15    7.524019E-07
       75    1.5000E-06    9.501462E-01    2.525701E-01    1.203363E-15    1.203766E-15    1.276245E-09    6.738414E-06    1.004672E-15    7.615861E-07
       76    1.5200E-06    9.501462E-01    2.525701E-01    1.203380E-15    1.203781E-15    1.298151E-09    6.729255E-06    1.004717E-15    7.707449E-07
       77    1.5400E-06    9.501462E-01    2.525701E-01    1.203397E-15    1.203795E-15    1.320175E-09    6.720122E-06    1.004762E-15    7.798783E-07
       78    1.5600E-06    9.501462E-01    2.525701E-01    1.203414E-15    1.203809E-15    1.342316E-09    6.711014E-06    1.004807E-15    7.889865E-07
       79    1.5800E-06    9.501462E-01    2.525701E-01    1.203431E-15    1.203823E-15    1.364574E-09    6.701930E-06    1.004852E-15    7.980695E-07
       80    1.6000E-06    9.501462E-01    2.525701E-01    1.203449E-15    1.203837E-15    1.386948E-09    6.692872E-06    1.004896E-15    8.071275E-07
       81    1.6200E-06    9.501462E-01    2.525701E-01    1.203467E-15    1.203851E-15    1.409439E-09    6.683839E-06    1.004940E-15    8.161606E-07
       82    1.6400E-06    9.501462E-01    2.525701E-01    1.203485E-15    1.203865E-15    1.432045E-09    6.674831E-06    1.004983E-15    8.251688E-07
       83    1.6600E-06    9.501462E-01    2.525701E-01    1.203503E-15    1.203880E-15    1.454768E-09    6.665848E-06    1.005026E-15    8.341523E-07
       84    1.6800E-06    9.501462E-01    2.525701E-01    1.203522E-15    1.203894E-15    1.477605E-09    6.656889E-06    1.005068E-15    8.431111E-07
       85    1.7000E-06    9.501462E-01    2.525701E-01    1.203540E-15    1.203908E-15    1.500558E-09    6.647955E-06    1.005110E-15    8.520453E-07
       86    1.7200E-06    9.501462E-01    2.525701E-01    1.203559E-15    1.203922E-15    1.523625E-09    6.639045E-06    1.005152E-15    8.609551E-07
       87    1.7400E-06    9.501462E-01    2.525701E-01    1.203578E-15    1.203936E-15    1.546806E-09    6.630159E-06    1.005193E-15    8.698406E-07
       88    1.7600E-06    9.501462E-01    2.525701E-01    1.203598E-15    1.203950E-15    1.570102E-09    6.621298E-06    1.005234E-15    8.787017E-07
       89    1.7800E-06    9.501462E-01    2.525701E-01    1.203617E-15    1.203965E-15    1.593511E-09    6.612461E-06    1.005274E-15    8.875387E-07
       90    1.8000E-06    9.501462E-01    2.525700E-01    1.203637E-15    1.203979E-15    1.617034E-09    6.603648E-06    1.005314E-15    8.963516E-07
       91    1.8200E-06    9.501462E-01    2.525700E-01    1.203656E-15    1.203993E-15    1.640670E-09    6.594859E-06    1.005354E-15    9.051405E-07
       92    1.8400E-06    9.501462E-01    2.525700E-01    1.203676E-15    1.204007E-15    1.664418E-09    6.586094E-06    1.005393E-15    9.139056E-07
       93    1.8600E-06    9.501462E-01    2.525700E-01    1.203697E-15    1.204021E-15    1.688279E-09    6.577353E-06    1.005432E-15    9.226468E-07
       94    1.8800E-06    9.501462E-01    2.525700E-01    1.203717E-15    1.204035E-15    1.712253E-09    6.568636E-06    1.005471E-15    9.313643E-07
       95    1.9000E-06    9.501462E-01    2.525700E-01    1.203738E-15    1.204050E-15    1.736338E-09    6.559942E-06    1.005509E-15    9.400582E-07
       96    1.9200E-06    9.501462E-01    2.525700E-01    1.203759E-15    1.204064E-15    1.760535E-09    6.551271E-06    1.005547E-15    9.487286E-07
       97    1.9400E-06    9.501462E-01    2.525700E-01    1.203780E-15    1.204078E-15    1.784843E-09    6.542624E-06    1.005584E-15    9.573756E-07
       98    1.9600E-06    9.501462E-01    2.525700E-01    1.203801E-15    1.204092E-15    1.809262E-09    6.534001E-06    1.005621E-15    9.659992E-07
       99    1.9800E-06    9.501462E-01    2.525700E-01    1.203822E-15    1.204106E-15    1.833791E-09    6.525400E-06    1.005657E-15    9.745995E-07
      100    2.0000E-06    9.501462E-01    2.525700E-01    1.203844E-15    1.204120E-15    1.858431E-09    6.516823E-06    1.005694E-15    9.831767E-07
      101    2.0200E-06    9.501462E-01    2.525700E-01    1.203865E-15    1.204135E-15    1.883182E-09    6.508269E-06    1.005730E-15    9.917308E-07
      102    2.0400E-06    9.501462E-01    2.525700E-01    1.203887E-15    1.204149E-15    1.908042E-09    6.499738E-06    1.005765E-15    1.000262E-06
      103    2.0600E-06    9.501462E-01    2.525700E-01    1.203909E-15    1.204163E-15    1.933011E-09    6.491230E-06    1.005800E-15    1.008770E-06
      104    2.0800E-06    9.501462E-01    2.525700E-01    1.203932E-15    1.204177E-15    1.958090E-09    6.482744E-06    1.005835E-15    1.017256E-06
      105    2.1000E-06    9.501462E-01    2.525700E-01    1.203954E-15    1.204191E-15    1.983277E-09    6.474282E-06    1.005869E-15    1.025718E-06
      106    2.1200E-06    9.501462E-01    2.525700E-01    1.203977E-15    1.204205E-15    2.008574E-09    6.465842E-06    1.005903E-15    1.034158E-06
      107    2.1400E-06    9.501462E-01    2.525700E-01    1.204000E-15    1.204220E-15    2.033978E-09    6.457424E-06    1.005937E-15    1.042576E-06
      108    2.1600E-06    9.501462E-01    2.525700E-01    1.204023E-15    1.204234E-15    2.059491E-09    6.449029E-06    1.005970E-15    1.050971E-06
      109    2.1800E-06    9.501462E-01    2.525700E-01    1.204046E-15    1.204248E-15    2.085111E-09    6.440656E-06    1.006003E-15    1.059344E-06
      110    2.2000E-06    9.501462E-01    2.525700E-01    1.204070E-15    1.204262E-15    2.110839E-09    6.432306E-06    1.006035E-15    1.067694E-06
      111    2.2200E-06    9.501462E-01    2.525700E-01    1.204093E-15    1.204276E-15    2.136674E-09    6.423978E-06    1.006067E-15    1.076022E-06
      112    2.2400E-06    9.501462E-01    2.525700E-01    1.204117E-15    1.204290E-15    2.162616E-09    6.415672E-06    1.006099E-15    1.084328E-06
      113    2.2600E-06    9.501462E-01    2.525699E-01    1.204141E-15    1.204305E-15    2.188664E-09    6.407388E-06    1.006130E-15    1.092612E-06
      114    2.2800E-06    9.501462E-01    2.525699E-01    1.204165E-15    1.204319E-15    2.214819E-09    6.399126E-06    1.006161E-15    1.100874E-06
      115    2.3000E-06    9.501462E-01    2.525699E-01    1.204190E-15    1.204333E-15    2.241080E-09    6.390886E-06    1.006192E-15    1.109114E-06
      116    2.3200E-06    9.501462E-01    2.525699E-01    1.204214E-15    1.204347E-15    2.267447E-09    6.382667E-06    1.006222E-15    1.117333E-06
      117    2.3400E-06    9.501462E-01    2.525699E-01    1.204239E-15    1.204361E-15    2.293919E-09    6.374471E-06    1.006252E-15    1.125529E-06
      118    2.3600E-06    9.501462E-01    2.525699E-01    1.204264E-15    1.204376E-15    2.320496E-09    6.366296E-06    1.006282E-15    1.133704E-06
      119    2.3800E-06    9.501462E-01    2.525699E-01    1.204289E-15    1.204390E-15    2.347178E-09    6.358142E-06    1.006311E-15    1.141858E-06
      120    2.4000E-06    9.501462E-01    2.525699E-01    1.204314E-15    1.204404E-15    2.373965E-09    6.350010E-06    1.006340E-15    1.149990E-06
      121    2.4200E-06    9.501462E-01    2.525699E-01    1.204339E-15    1.204418E-15    2.400856E-09    6.341900E-06    1.006368E-15    1.158100E-06
      122    2.4400E-06    9.501462E-01    2.525699E-01    1.204365E-15    1.204432E-15    2.427852E-09    6.333810E-06    1.006396E-15    1.166190E-06
      123    2.4600E-06    9.501462E-01    2.525699E-01    1.204391E-15    1.204447E-15    2.454951E-09    6.325742E-06    1.006424E-15    1.174258E-06
      124    2.4800E-06    9.501462E-01    2.525699E-01    1.204417E-15    1.204461E-15    2.482154E-09    6.317695E-06    1.006452E-15    1.182305E-06
      125    2.5000E-06    9.501462E-01    2.525699E-01    1.204443E-15    1.204475E-15    2.509460E-09    6.309669E-06    1.006479E-15    1.190331E-06
      126    2.5200E-06    9.501462E-01    2.525699E-01    1.204469E-15    1.204489E-15    2.536869E-09    6.301665E-06    1.006505E-15    1.198335E-06
