iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
       81    1.6200E-06    9.501462E-01    2.525701E-01    1.203468E-15    1.203858E-15    1.415988E-09    6.678258E-06    1.004978E-15    8.217418E-07
       82    1.6400E-06    9.501462E-01    2.525701E-01    1.203486E-15    1.203873E-15    1.438609E-09    6.669253E-06    1.005021E-15    8.307471E-07
       83    1.6600E-06    9.501462E-01    2.525701E-01    1.203504E-15    1.203887E-15    1.461345E-09    6.660272E-06    1.005064E-15    8.397275E-07
       84    1.6800E-06    9.501462E-01    2.525701E-01    1.203523E-15    1.203901E-15    1.484197E-09    6.651317E-06    1.005107E-15    8.486833E-07
       85    1.7000E-06    9.501462E-01    2.525701E-01    1.203541E-15    1.203915E-15    1.507163E-09    6.642385E-06    1.005149E-15    8.576145E-07
       86    1.7200E-06    9.501462E-01    2.525701E-01    1.203560E-15    1.203929E-15    1.530245E-09    6.633479E-06    1.005190E-15    8.665213E-07
       87    1.7400E-06    9.501462E-01    2.525701E-01    1.203579E-15    1.203943E-15    1.553441E-09    6.624596E-06    1.005231E-15    8.754036E-07
       88    1.7600E-06    9.501462E-01    2.525701E-01    1.203599E-15    1.203957E-15    1.576751E-09    6.615738E-06    1.005272E-15    8.842616E-07
       89    1.7800E-06    9.501462E-01    2.525700E-01    1.203618E-15    1.203972E-15    1.600175E-09    6.606904E-06    1.005313E-15    8.930955E-07
       90    1.8000E-06    9.501462E-01    2.525700E-01    1.203638E-15    1.203986E-15    1.623713E-09    6.598095E-06    1.005353E-15    9.019053E-07
       91    1.8200E-06    9.501462E-01    2.525700E-01    1.203658E-15    1.204000E-15    1.647364E-09    6.589309E-06    1.005392E-15    9.106910E-07
       92    1.8400E-06    9.501462E-01    2.525700E-01    1.203678E-15    1.204014E-15    1.671127E-09    6.580547E-06    1.005431E-15    9.194529E-07
       93    1.8600E-06    9.501462E-01    2.525700E-01    1.203698E-15    1.204028E-15    1.695004E-09    6.571809E-06    1.005470E-15    9.281909E-07
       94    1.8800E-06    9.501462E-01    2.525700E-01    1.203718E-15    1.204042E-15    1.718992E-09    6.563095E-06    1.005509E-15    9.369052E-07
       95    1.9000E-06    9.501462E-01    2.525700E-01    1.203739E-15    1.204057E-15    1.743093E-09    6.554404E-06    1.005547E-15    9.455958E-07
       96    1.9200E-06    9.501462E-01    2.525700E-01    1.203760E-15    1.204071E-15    1.767305E-09    6.545737E-06    1.005585E-15    9.542630E-07
       97    1.9400E-06    9.501462E-01    2.525700E-01    1.203781E-15    1.204085E-15    1.791629E-09    6.537093E-06    1.005622E-15    9.629066E-07
       98    1.9600E-06    9.501462E-01    2.525700E-01    1.203802E-15    1.204099E-15    1.816064E-09    6.528473E-06    1.005659E-15    9.715269E-07
       99    1.9800E-06    9.501462E-01    2.525700E-01    1.203823E-15    1.204113E-15    1.840609E-09    6.519876E-06    1.005695E-15    9.801239E-07
      100    2.0000E-06    9.501462E-01    2.525700E-01    1.203845E-15    1.204127E-15    1.865265E-09    6.511302E-06    1.005731E-15    9.886978E-07
