iteration          time             xN2             xO2             xNO              xN              xO          xE(s1)          xN(s1)          xO(s1)
       79    1.5800E-06    9.501462E-01    2.525701E-01    1.203448E-15    1.203830E-15    1.380255E-09    6.698419E-06    1.004858E-15    8.015808E-07
       80    1.6000E-06    9.501462E-01    2.525701E-01    1.203466E-15    1.203844E-15    1.402732E-09    6.689383E-06    1.004901E-15    8.106167E-07
       81    1.6200E-06    9.501462E-01    2.525701E-01    1.203484E-15    1.203858E-15    1.425325E-09    6.680372E-06    1.004945E-15    8.196277E-07
       82    1.6400E-06    9.501462E-01    2.525701E-01    1.203502E-15    1.203873E-15    1.448034E-09    6.671386E-06    1.004988E-15    8.286140E-07
       83    1.6600E-06    9.501462E-01    2.525701E-01    1.203520E-15    1.203887E-15    1.470858E-09    6.662424E-06    1.005030E-15    8.375757E-07
       84    1.6800E-06    9.501462E-01    2.525701E-01    1.203539E-15    1.203901E-15    1.493797E-09    6.653487E-06    1.005072E-15    8.465128E-07
       85    1.7000E-06    9.501462E-01    2.525701E-01    1.203558E-15    1.203915E-15    1.516850E-09    6.644574E-06    1.005114E-15    8.554255E-07
       86    1.7200E-06    9.501462E-01    2.525701E-01    1.203577E-15    1.203929E-15    1.540018E-09    6.635686E-06    1.005155E-15    8.643139E-07
       87    1.7400E-06    9.501462E-01    2.525701E-01    1.203596E-15    1.203943E-15    1.563300E-09    6.626822E-06    1.005196E-15    8.731780E-07
       88    1.7600E-06    9.501462E-01    2.525701E-01    1.203616E-15    1.203958E-15    1.586695E-09    6.617982E-06    1.005237E-15    8.820180E-07
       89    1.7800E-06    9.501462E-01    2.525700E-01    1.203635E-15    1.203972E-15    1.610203E-09    6.609166E-06    1.005277E-15    8.908339E-07
       90    1.8000E-06    9.501462E-01    2.525700E-01    1.203655E-15    1.203986E-15    1.633825E-09    6.600374E-06    1.005316E-15    8.996259E-07
       91    1.8200E-06    9.501462E-01    2.525700E-01    1.203675E-15    1.204000E-15    1.657559E-09    6.591606E-06    1.005356E-15    9.083940E-07
       92    1.8400E-06    9.501462E-01    2.525700E-01    1.203695E-15    1.204014E-15    1.681406E-09    6.582862E-06    1.005395E-15    9.171383E-07
       93    1.8600E-06    9.501462E-01    2.525700E-01    1.203716E-15    1.204028E-15    1.705364E-09    6.574141E-06    1.005433E-15    9.258589E-07
       94    1.8800E-06    9.501462E-01    2.525700E-01    1.203736E-15    1.204042E-15    1.729435E-09    6.565444E-06    1.005471E-15    9.345559E-07
