iteration         time       L1-norm       L2-norm
     167    1.6700E-02    3.8432E-07    4.2969E-07
     168    1.6800E-02    3.8412E-07    4.2947E-07
     169    1.6900E-02    3.8392E-07    4.2924E-07
     170    1.7000E-02    3.8372E-07    4.2902E-07
     171    1.7100E-02    3.8351E-07    4.2879E-07
     172    1.7200E-02    3.8331E-07    4.2856E-07
     173    1.7300E-02    3.8311E-07    4.2834E-07
     174    1.7400E-02    3.8291E-07    4.2811E-07
     175    1.7500E-02    3.8271E-07    4.2789E-07
     176    1.7600E-02    3.8251E-07    4.2766E-07
     177    1.7700E-02    3.8231E-07    4.2744E-07
     178    1.7800E-02    3.8210E-07    4.2721E-07
     179    1.7900E-02    3.8190E-07    4.2699E-07
     180    1.8000E-02    3.8170E-07    4.2676E-07
     181    1.8100E-02    3.8150E-07    4.2654E-07
     182    1.8200E-02    3.8130E-07    4.2632E-07
     183    1.8300E-02    3.8110E-07    4.2609E-07
     184    1.8400E-02    3.8090E-07    4.2587E-07
     185    1.8500E-02    3.8070E-07    4.2564E-07
     186    1.8600E-02    3.8050E-07    4.2542E-07
     187    1.8700E-02    3.8030E-07    4.2520E-07
     188    1.8800E-02    3.8010E-07    4.2497E-07
     189    1.8900E-02    3.7990E-07    4.2475E-07
     190    1.9000E-02    3.7970E-07    4.2453E-07
     191    1.9100E-02    3.7950E-07    4.2430E-07
     192    1.9200E-02    3.7930E-07    4.2408E-07
     193    1.9300E-02    3.7910E-07    4.2386E-07
     194    1.9400E-02    3.7890E-07    4.2363E-07
     195    1.9500E-02    3.7870E-07    4.2341E-07
     196    1.9600E-02    3.7850E-07    4.2319E-07
     197    1.9700E-02    3.7830E-07    4.2297E-07
     198    1.9800E-02    3.7811E-07    4.2274E-07
     199    1.9900E-02    3.7791E-07    4.2252E-07
     200    2.0000E-02    3.7771E-07    4.2230E-07
     400    4.0000E-02    3.4013E-07    3.8029E-07
     600    6.0000E-02    3.0651E-07    3.4269E-07
     800    8.0000E-02    2.7637E-07    3.0900E-07
    1000    1.0000E-01    2.4934E-07    2.7878E-07
    1200    1.2000E-01    2.2506E-07    2.5163E-07
    1400    1.4000E-01    2.0324E-07    2.2723E-07
    1600    1.6000E-01    1.8360E-07    2.0528E-07
    1800    1.8000E-01    1.6592E-07    1.8551E-07
    2000    2.0000E-01    1.5000E-07    1.6770E-07
    2200    2.2000E-01    1.3564E-07    1.5165E-07
    2400    2.4000E-01    1.2268E-07    1.3717E-07
    2600    2.6000E-01    1.1099E-07    1.2410E-07
    2800    2.8000E-01    1.0044E-07    1.1230E-07
    3000    3.0000E-01    9.0905E-08    1.0164E-07
    3200    3.2000E-01    8.2291E-08    9.2006E-08
    3400    3.4000E-01    7.4505E-08    8.3300E-08
    3600    3.6000E-01    6.7465E-08    7.5429E-08
    3800    3.8000E-01    6.1098E-08    6.8311E-08
    4000    4.0000E-01    5.5339E-08    6.1871E-08
    4200    4.2000E-01    5.0127E-08    5.6045E-08
    4400    4.4000E-01    4.5411E-08    5.0772E-08
    4600    4.6000E-01    4.1142E-08    4.5999E-08
    4800    4.8000E-01    3.7277E-08    4.1678E-08
    5000    5.0000E-01    3.3778E-08    3.7765E-08
    5200    5.2000E-01    3.0609E-08    3.4222E-08
