iteration          time             xO2              xO          xE(s1)          xO(s1)
      730    7.3000E-06    1.082450E+00    1.202671E-01    5.378459E-07    6.962154E-06
      740    7.4000E-06    1.082450E+00    1.202671E-01    5.275170E-07    6.972483E-06
      750    7.5000E-06    1.082450E+00    1.202671E-01    5.175846E-07    6.982415E-06
      760    7.6000E-06    1.082450E+00    1.202671E-01    5.080326E-07    6.991967E-06
      770    7.7000E-06    1.082450E+00    1.202670E-01    4.988459E-07    7.001154E-06
      780    7.8000E-06    1.082450E+00    1.202670E-01    4.900096E-07    7.009990E-06
      790    7.9000E-06    1.082450E+00    1.202670E-01    4.815099E-07    7.018490E-06
      800    8.0000E-06    1.082450E+00    1.202670E-01    4.733333E-07    7.026667E-06
      810    8.1000E-06    1.082450E+00    1.202670E-01    4.654671E-07    7.034533E-06
      820    8.2000E-06    1.082450E+00    1.202670E-01    4.578988E-07    7.042101E-06
      830    8.3000E-06    1.082450E+00    1.202669E-01    4.506167E-07    7.049383E-06
      840    8.4000E-06    1.082450E+00    1.202669E-01    4.436097E-07    7.056390E-06
      850    8.5000E-06    1.082450E+00    1.202669E-01    4.368669E-07    7.063133E-06
      860    8.6000E-06    1.082450E+00    1.202669E-01    4.303779E-07    7.069622E-06
      870    8.7000E-06    1.082450E+00    1.202669E-01    4.241329E-07    7.075867E-06
      880    8.8000E-06    1.082450E+00    1.202669E-01    4.181225E-07    7.081878E-06
      890    8.9000E-06    1.082450E+00    1.202669E-01    4.123374E-07    7.087663E-06
      900    9.0000E-06    1.082450E+00    1.202668E-01    4.067689E-07    7.093231E-06
      910    9.1000E-06    1.082450E+00    1.202668E-01    4.014088E-07    7.098591E-06
      920    9.2000E-06    1.082450E+00    1.202668E-01    3.962489E-07    7.103751E-06
      930    9.3000E-06    1.082450E+00    1.202668E-01    3.912816E-07    7.108718E-06
      940    9.4000E-06    1.082450E+00    1.202668E-01    3.864995E-07    7.113500E-06
      950    9.5000E-06    1.082450E+00    1.202668E-01    3.818955E-07    7.118105E-06
      960    9.6000E-06    1.082450E+00    1.202668E-01    3.774628E-07    7.122537E-06
      970    9.7000E-06    1.082450E+00    1.202667E-01    3.731948E-07    7.126805E-06
      980    9.8000E-06    1.082450E+00    1.202667E-01    3.690853E-07    7.130915E-06
      990    9.9000E-06    1.082450E+00    1.202667E-01    3.651283E-07    7.134872E-06
     1000    1.0000E-05    1.082450E+00    1.202667E-01    3.613179E-07    7.138682E-06
     1010    1.0100E-05    1.082450E+00    1.202667E-01    3.576487E-07    7.142351E-06
     1020    1.0200E-05    1.082450E+00    1.202667E-01    3.541152E-07    7.145885E-06
     1030    1.0300E-05    1.082450E+00    1.202667E-01    3.507124E-07    7.149288E-06
     1040    1.0400E-05    1.082450E+00    1.202667E-01    3.474354E-07    7.152565E-06
     1050    1.0500E-05    1.082450E+00    1.202666E-01    3.442793E-07    7.155721E-06
     1060    1.0600E-05    1.082450E+00    1.202666E-01    3.412397E-07    7.158760E-06
     1070    1.0700E-05    1.082450E+00    1.202666E-01    3.383122E-07    7.161688E-06
     1080    1.0800E-05    1.082450E+00    1.202666E-01    3.354926E-07    7.164507E-06
