variables = iteration          time             xO2              xO          xE(s1)          xO(s1)
zone f=point t=Marschall
       80    8.0000E-07    1.082446E+00    1.202703E-01    4.719708E-06    2.780292E-06
       90    9.0000E-07    1.082446E+00    1.202702E-01    4.480123E-06    3.019877E-06
      100    1.0000E-06    1.082447E+00    1.202701E-01    4.257316E-06    3.242684E-06
      110    1.1000E-06    1.082447E+00    1.202700E-01    4.049719E-06    3.450281E-06
      120    1.2000E-06    1.082447E+00    1.202698E-01    3.855955E-06    3.644045E-06
      130    1.3000E-06    1.082447E+00    1.202697E-01    3.674804E-06    3.825196E-06
      140    1.4000E-06    1.082447E+00    1.202696E-01    3.505185E-06    3.994815E-06
      150    1.5000E-06    1.082447E+00    1.202695E-01    3.346136E-06    4.153864E-06
      160    1.6000E-06    1.082447E+00    1.202694E-01    3.196798E-06    4.303202E-06
      170    1.7000E-06    1.082447E+00    1.202693E-01    3.056400E-06    4.443600E-06
      180    1.8000E-06    1.082447E+00    1.202693E-01    2.924251E-06    4.575749E-06
      190    1.9000E-06    1.082447E+00    1.202692E-01    2.799725E-06    4.700275E-06
      200    2.0000E-06    1.082448E+00    1.202691E-01    2.682260E-06    4.817740E-06
      210    2.1000E-06    1.082448E+00    1.202690E-01    2.571345E-06    4.928655E-06
      220    2.2000E-06    1.082448E+00    1.202689E-01    2.466517E-06    5.033483E-06
      230    2.3000E-06    1.082448E+00    1.202689E-01    2.367354E-06    5.132646E-06
      240    2.4000E-06    1.082448E+00    1.202688E-01    2.273470E-06    5.226530E-06
      250    2.5000E-06    1.082448E+00    1.202687E-01    2.184514E-06    5.315486E-06
      260    2.6000E-06    1.082448E+00    1.202687E-01    2.100164E-06    5.399836E-06
      270    2.7000E-06    1.082448E+00    1.202686E-01    2.020124E-06    5.479876E-06
      280    2.8000E-06    1.082448E+00    1.202686E-01    1.944123E-06    5.555877E-06
      290    2.9000E-06    1.082448E+00    1.202685E-01    1.871910E-06    5.628090E-06
      300    3.0000E-06    1.082448E+00    1.202684E-01    1.803255E-06    5.696745E-06
      310    3.1000E-06    1.082448E+00    1.202684E-01    1.737944E-06    5.762056E-06
      320    3.2000E-06    1.082448E+00    1.202683E-01    1.675780E-06    5.824220E-06
      330    3.3000E-06    1.082448E+00    1.202683E-01    1.616581E-06    5.883419E-06
      340    3.4000E-06    1.082448E+00    1.202682E-01    1.560176E-06    5.939824E-06
      350    3.5000E-06    1.082448E+00    1.202682E-01    1.506408E-06    5.993592E-06
      360    3.6000E-06    1.082448E+00    1.202682E-01    1.455131E-06    6.044869E-06
      370    3.7000E-06    1.082449E+00    1.202681E-01    1.406208E-06    6.093792E-06
      380    3.8000E-06    1.082449E+00    1.202681E-01    1.359512E-06    6.140488E-06
      390    3.9000E-06    1.082449E+00    1.202680E-01    1.314923E-06    6.185077E-06
      400    4.0000E-06    1.082449E+00    1.202680E-01    1.272330E-06    6.227670E-06
      410    4.1000E-06    1.082449E+00    1.202679E-01    1.231630E-06    6.268370E-06
      420    4.2000E-06    1.082449E+00    1.202679E-01    1.192725E-06    6.307275E-06
      430    4.3000E-06    1.082449E+00    1.202679E-01    1.155523E-06    6.344477E-06
      440    4.4000E-06    1.082449E+00    1.202678E-01    1.119939E-06    6.380061E-06
      450    4.5000E-06    1.082449E+00    1.202678E-01    1.085892E-06    6.414108E-06
      460    4.6000E-06    1.082449E+00    1.202678E-01    1.053306E-06    6.446694E-06
      470    4.7000E-06    1.082449E+00    1.202677E-01    1.022111E-06    6.477889E-06
      480    4.8000E-06    1.082449E+00    1.202677E-01    9.922380E-07    6.507762E-06
      490    4.9000E-06    1.082449E+00    1.202677E-01    9.636247E-07    6.536375E-06
      500    5.0000E-06    1.082449E+00    1.202676E-01    9.362113E-07    6.563789E-06
      510    5.1000E-06    1.082449E+00    1.202676E-01    9.099412E-07    6.590059E-06
      520    5.2000E-06    1.082449E+00    1.202676E-01    8.847612E-07    6.615239E-06
      530    5.3000E-06    1.082449E+00    1.202676E-01    8.606209E-07    6.639379E-06
      540    5.4000E-06    1.082449E+00    1.202675E-01    8.374726E-07    6.662527E-06
      550    5.5000E-06    1.082449E+00    1.202675E-01    8.152713E-07    6.684729E-06
      560    5.6000E-06    1.082449E+00    1.202675E-01    7.939742E-07    6.706026E-06
      570    5.7000E-06    1.082449E+00    1.202675E-01    7.735408E-07    6.726459E-06
      580    5.8000E-06    1.082449E+00    1.202674E-01    7.539327E-07    6.746067E-06
      590    5.9000E-06    1.082449E+00    1.202674E-01    7.351134E-07    6.764887E-06
      600    6.0000E-06    1.082449E+00    1.202674E-01    7.170483E-07    6.782952E-06
      610    6.1000E-06    1.082449E+00    1.202674E-01    6.997045E-07    6.800295E-06
      620    6.2000E-06    1.082449E+00    1.202673E-01    6.830509E-07    6.816949E-06
      630    6.3000E-06    1.082449E+00    1.202673E-01    6.670576E-07    6.832942E-06
      640    6.4000E-06    1.082449E+00    1.202673E-01    6.516964E-07    6.848304E-06
      650    6.5000E-06    1.082449E+00    1.202673E-01    6.369405E-07    6.863060E-06
      660    6.6000E-06    1.082449E+00    1.202673E-01    6.227641E-07    6.877236E-06
      670    6.7000E-06    1.082449E+00    1.202672E-01    6.091430E-07    6.890857E-06
      680    6.8000E-06    1.082449E+00    1.202672E-01    5.960538E-07    6.903946E-06
      690    6.9000E-06    1.082449E+00    1.202672E-01    5.834744E-07    6.916526E-06
      700    7.0000E-06    1.082449E+00    1.202672E-01    5.713836E-07    6.928616E-06
      710    7.1000E-06    1.082449E+00    1.202672E-01    5.597613E-07    6.940239E-06
      720    7.2000E-06    1.082450E+00    1.202671E-01    5.485882E-07    6.951412E-06
      730    7.3000E-06    1.082450E+00    1.202671E-01    5.378459E-07    6.962154E-06
      740    7.4000E-06    1.082450E+00    1.202671E-01    5.275170E-07    6.972483E-06
      750    7.5000E-06    1.082450E+00    1.202671E-01    5.175846E-07    6.982415E-06
      760    7.6000E-06    1.082450E+00    1.202671E-01    5.080326E-07    6.991967E-06
      770    7.7000E-06    1.082450E+00    1.202670E-01    4.988459E-07    7.001154E-06
      780    7.8000E-06    1.082450E+00    1.202670E-01    4.900096E-07    7.009990E-06
      790    7.9000E-06    1.082450E+00    1.202670E-01    4.815099E-07    7.018490E-06
      800    8.0000E-06    1.082450E+00    1.202670E-01    4.733333E-07    7.026667E-06
      810    8.1000E-06    1.082450E+00    1.202670E-01    4.654671E-07    7.034533E-06
      820    8.2000E-06    1.082450E+00    1.202670E-01    4.578988E-07    7.042101E-06
      830    8.3000E-06    1.082450E+00    1.202669E-01    4.506167E-07    7.049383E-06
      840    8.4000E-06    1.082450E+00    1.202669E-01    4.436097E-07    7.056390E-06
      850    8.5000E-06    1.082450E+00    1.202669E-01    4.368669E-07    7.063133E-06
      860    8.6000E-06    1.082450E+00    1.202669E-01    4.303779E-07    7.069622E-06
      870    8.7000E-06    1.082450E+00    1.202669E-01    4.241329E-07    7.075867E-06
      880    8.8000E-06    1.082450E+00    1.202669E-01    4.181225E-07    7.081878E-06
      890    8.9000E-06    1.082450E+00    1.202669E-01    4.123374E-07    7.087663E-06
